DOT_NUMBER,LEGAL_NAME,DBA_NAME,CARRIER_OPERATION,ADD_DATE,OIC_STATE,NBR_POWER_UNIT,DRIVER_TOTAL,PHY_STREET,PHY_CITY,PHY_STATE,PHY_ZIP,PHY_COUNTRY,TELEPHONE,EMAIL_ADDRESS,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,CARRIER_OPERATION_LIST
1057908,RT ELECTRIC INC,,Interstate,01-OCT-02,New Mexico,41.0,32.0,480 N 17TH ST,LAS CRUCES,New Mexico,88005,United States,(575) 523-9252,KAREN@RTELECTRICINC.COM,08-AUG-24,451675.0,2023.0,EXEMPT_FOR_HIRE;PRIVATE_PROPERTY
1087697,ALBUQUERQUE ASPHALT INC,,Intrastate Hazmat,15-JAN-03,New Mexico,55.0,30.0,5012 BROADWAY SE,ALBUQERQUE,New Mexico,87105,United States,(505) 377-8165,ROSS@ALB-ASPHALT.COM,13-FEB-24,376000.0,2023.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1087836,DEANS INC,,Interstate,15-JAN-03,New Mexico,66.0,79.0,409 COMMERCE RD,ARTESIA,New Mexico,88210,United States,(575) 748-3400,KMURPHY@DEANSINC.COM,26-JUN-24,283343.0,2023.0,PRIVATE_PROPERTY;OP_OTHER;OP_OTHER: NOT FOR HIRE
1088154,ROSWELL READY MIX COMPANY INC,LEA COUNTY CONCRETE,Interstate,16-JAN-03,New Mexico,44.0,24.0,4100 S LEA,ROSWELL,New Mexico,88203-5320,United States,(575) 622-1186,DCARR@NMREADYMIX.COM,05-JUN-23,790937.0,2022.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1089860,SAN BAR CONSTRUCTION CORP,,Intrastate Non-Hazmat,22-JAN-03,New Mexico,42.0,15.0,9101 BROADWAY SE,ALBUQUERQUE,New Mexico,87105,United States,(505) 452-8000,SAM@SANBARCC.COM,17-SEP-24,257591.0,2023.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1098013,SHIVER REDI MIX LLC,DUKE CITY REDI MIX,Intrastate Non-Hazmat,19-FEB-03,New Mexico,86.0,62.0,7711 BROADWAY BLVD SE,ALBUQUERQUE,New Mexico,87105,United States,(505) 877-5777,KINGRO@DUKECITYREDIMIX.COM,24-APR-24,1013543.0,2023.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1102762,TABET ENTERPRISES INC,AMERITRANS,Interstate,03-MAR-03,New Mexico,98.0,108.0,PO BOX 92274,ALBUQUERQUE,New Mexico,87199,United States,(915) 852-8889,TROY@AMERITRANSTX.COM,22-DEC-23,12111118.0,2022.0,AUTHORIZED_FOR_HIRE
1104272,ZUNI TRIBE,PUEBLO OF ZUNI,Intrastate Non-Hazmat,06-MAR-03,New Mexico,94.0,392.0,1203-B STATE HWY 53,ZUNI,New Mexico,87327,United States,(505) 782-7000,,18-AUG-04,10000.0,2002.0,OP_OTHER;OP_OTHER: TRIBAL GOVERNMENT
1106211,REAL TRUCKING AND TRANSPORT LLC,,Intrastate Non-Hazmat,12-MAR-03,New Mexico,51.0,38.0,1302 N RIVERSIDE DRIVE,ESPANOLA,New Mexico,87532-2943,United States,(505) 753-2176,KFISHMAN@ESPMERC.COM,31-JAN-25,513307.0,2024.0,PRIVATE_ONLY;PRIVATE_PROPERTY
1107940,ROAD RUNNER WASTE SERVICE INC,,Intrastate Non-Hazmat,17-MAR-03,New Mexico,55.0,35.0,624 E FRONTAGE ROAD,ALGODONES,New Mexico,87001,United States,(505) 867-9000,JESSE.GONZALES@WASTECONNECTIONS.COM,15-NOV-22,900000.0,2021.0,PRIVATE_ONLY;PRIVATE_PROPERTY
